number,date,close_index
1,1986-12-31,2568.300049
2,1987-01-02,2540.100098
3,1987-01-05,2552.399902
4,1987-01-06,2583.899902
5,1987-01-07,2607.100098
6,1987-01-08,2603.300049
7,1987-01-09,2561.699951
8,1987-01-12,2614.899902
9,1987-01-13,2590.800049
10,1987-01-14,2578.199951
11,1987-01-15,2559.100098
12,1987-01-16,2542.600098
13,1987-01-19,2460.500000
14,1987-01-20,2449.899902
15,1987-01-21,2533.899902
16,1987-01-22,2536.899902
17,1987-01-23,2499.399902
18,1987-01-26,2484.399902
19,1987-01-27,2524.000000
20,1987-01-28,2553.300049
21,1987-02-02,2585.199951
22,1987-02-03,2606.399902
23,1987-02-04,2636.600098
24,1987-02-05,2672.399902
25,1987-02-06,2673.600098
26,1987-02-09,2713.699951
27,1987-02-10,2694.899902
28,1987-02-11,2739.500000
29,1987-02-12,2754.699951
30,1987-02-13,2740.500000
31,1987-02-16,2766.100098
32,1987-02-17,2792.100098
33,1987-02-18,2801.500000
34,1987-02-19,2775.800049
35,1987-02-20,2827.399902
36,1987-02-23,2879.000000
37,1987-02-24,2848.199951
38,1987-02-25,2873.600098
39,1987-02-26,2843.600098
40,1987-02-27,2877.899902
41,1987-03-02,2894.300049
42,1987-03-03,2939.100098
43,1987-03-04,2890.899902
44,1987-03-05,2798.399902
45,1987-03-06,2798.600098
46,1987-03-09,2820.399902
47,1987-03-10,2731.100098
48,1987-03-11,2760.899902
49,1987-03-12,2750.100098
50,1987-03-13,2721.199951
51,1987-03-16,2669.600098
52,1987-03-17,2629.300049
53,1987-03-18,2724.000000
54,1987-03-19,2721.300049
55,1987-03-20,2780.600098
56,1987-03-23,2813.399902
57,1987-03-24,2828.100098
58,1987-03-25,2831.500000
59,1987-03-26,2783.100098
60,1987-03-27,2798.699951
61,1987-03-30,2774.899902
62,1987-03-31,2713.800049
63,1987-04-01,2695.899902
64,1987-04-02,2709.399902
65,1987-04-03,2680.000000
66,1987-04-07,2664.699951
67,1987-04-08,2729.600098
68,1987-04-09,2785.500000
69,1987-04-10,2766.399902
70,1987-04-13,2708.899902
71,1987-04-14,2668.399902
72,1987-04-15,2693.600098
73,1987-04-16,2721.100098
74,1987-04-21,2713.399902
75,1987-04-22,2716.899902
76,1987-04-23,2719.899902
77,1987-04-24,2707.600098
78,1987-04-27,2636.500000
79,1987-04-28,2617.100098
80,1987-04-29,2589.500000
81,1987-04-30,2659.899902
82,1987-05-01,2685.399902
83,1987-05-04,2695.800049
84,1987-05-05,2713.800049
85,1987-05-06,2792.899902
86,1987-05-07,2785.600098
87,1987-05-08,2805.100098
88,1987-05-11,2846.899902
89,1987-05-12,2853.399902
90,1987-05-13,2833.500000
91,1987-05-14,2853.899902
92,1987-05-15,2872.199951
93,1987-05-18,2875.399902
94,1987-05-19,2881.500000
95,1987-05-20,2887.300049
96,1987-05-21,2871.000000
97,1987-05-22,2897.600098
98,1987-05-25,2897.600098
99,1987-05-26,2935.899902
100,1987-05-27,2941.600098
101,1987-05-28,2950.800049
102,1987-05-29,2950.800049
103,1987-06-02,2934.100098
104,1987-06-03,2963.000000
105,1987-06-04,3023.600098
106,1987-06-05,3064.300049
107,1987-06-08,3068.000000
108,1987-06-09,3108.600098
109,1987-06-10,3097.300049
110,1987-06-11,3087.500000
111,1987-06-12,3129.899902
112,1987-06-16,3170.899902
113,1987-06-17,3178.600098
114,1987-06-18,3133.699951
115,1987-06-19,3165.600098
116,1987-06-22,3131.199951
117,1987-06-23,3110.399902
118,1987-06-24,3179.000000
119,1987-06-25,3136.300049
120,1987-06-26,3138.699951
121,1987-06-29,3152.000000
122,1987-06-30,3178.199951
123,1987-07-01,3164.000000
124,1987-07-02,3229.199951
125,1987-07-03,3226.000000
126,1987-07-06,3220.699951
127,1987-07-07,3236.399902
128,1987-07-08,3251.399902
129,1987-07-09,3226.000000
130,1987-07-10,3207.199951
131,1987-07-13,3216.100098
132,1987-07-14,3253.399902
133,1987-07-15,3262.300049
134,1987-07-16,3305.800049
135,1987-07-17,3342.100098
136,1987-07-20,3386.100098
137,1987-07-21,3353.800049
138,1987-07-22,3380.399902
139,1987-07-23,3366.800049
140,1987-07-24,3343.600098
141,1987-07-27,3346.899902
142,1987-07-28,3337.500000
143,1987-07-29,3389.699951
144,1987-07-30,3419.300049
145,1987-07-31,3479.199951
146,1987-08-03,3514.300049
147,1987-08-04,3531.899902
148,1987-08-05,3517.100098
149,1987-08-06,3498.000000
150,1987-08-07,3536.199951
151,1987-08-10,3543.800049
152,1987-08-11,3546.500000
153,1987-08-12,3557.399902
154,1987-08-13,3514.300049
155,1987-08-14,3512.199951
156,1987-08-17,3510.699951
157,1987-08-18,3504.899902
158,1987-08-19,3450.600098
159,1987-08-20,3408.000000
160,1987-08-21,3446.600098
161,1987-08-24,3391.300049
162,1987-08-25,3447.300049
163,1987-08-26,3526.300049
164,1987-08-27,3583.300049
165,1987-08-28,3611.699951
166,1987-09-01,3644.300049
167,1987-09-02,3635.899902
168,1987-09-03,3654.000000
169,1987-09-04,3654.500000
170,1987-09-07,3646.300049
171,1987-09-08,3601.500000
172,1987-09-09,3577.600098
173,1987-09-10,3601.000000
174,1987-09-11,3660.500000
175,1987-09-14,3649.800049
176,1987-09-15,3646.899902
177,1987-09-16,3646.899902
178,1987-09-17,3571.399902
179,1987-09-18,3650.000000
180,1987-09-21,3668.000000
181,1987-09-22,3695.500000
182,1987-09-23,3763.100098
183,1987-09-24,3768.399902
184,1987-09-25,3840.100098
185,1987-09-28,3884.699951
186,1987-09-29,3859.500000
187,1987-09-30,3943.600098
188,1987-10-01,3949.699951
189,1987-10-02,3902.699951
190,1987-10-05,3947.000000
191,1987-10-06,3925.300049
192,1987-10-07,3936.100098
193,1987-10-09,3882.399902
194,1987-10-12,3900.199951
195,1987-10-13,3841.300049
196,1987-10-14,3844.500000
197,1987-10-15,3828.600098
198,1987-10-16,3783.199951
199,1987-10-19,3362.399902
200,1987-10-26,2241.699951
201,1987-10-27,2395.699951
202,1987-10-28,2370.199951
203,1987-10-29,2204.500000
204,1987-10-30,2204.500000
205,1987-11-02,2203.199951
206,1987-11-03,2180.500000
207,1987-11-04,2077.100098
208,1987-11-05,1960.900024
209,1987-11-06,2113.699951
210,1987-11-09,2139.300049
211,1987-11-10,2043.199951
212,1987-11-11,2075.300049
213,1987-11-12,2150.899902
214,1987-11-13,2226.699951
215,1987-11-16,2310.899902
216,1987-11-17,2290.399902
217,1987-11-18,2285.199951
218,1987-11-19,2257.600098
219,1987-11-20,2214.699951
220,1987-11-23,2141.699951
221,1987-11-24,2134.800049
222,1987-11-25,2184.399902
223,1987-11-26,2179.600098
224,1987-11-27,2194.000000
225,1987-11-30,2138.399902
226,1987-12-01,2108.600098
227,1987-12-02,2100.800049
228,1987-12-03,2057.399902
229,1987-12-04,1994.199951
230,1987-12-07,1894.900024
231,1987-12-08,1986.099976
232,1987-12-09,1985.000000
233,1987-12-10,2027.699951
234,1987-12-11,1989.599976
235,1987-12-14,2040.599976
236,1987-12-15,2080.600098
237,1987-12-16,2145.699951
238,1987-12-17,2142.199951
239,1987-12-18,2180.500000
240,1987-12-21,2278.100098
241,1987-12-22,2276.399902
242,1987-12-23,2325.600098
243,1987-12-24,2379.100098
244,1987-12-28,2286.800049
245,1987-12-29,2301.300049
246,1987-12-30,2292.000000
247,1987-12-31,2302.800049
248,1988-01-04,2286.300049
249,1988-01-05,2403.199951
250,1988-01-06,2463.000000
251,1988-01-07,2452.500000
252,1988-01-08,2460.699951
253,1988-01-11,2400.800049
254,1988-01-12,2442.399902
255,1988-01-13,2383.800049
256,1988-01-14,2411.500000
257,1988-01-15,2429.800049
258,1988-01-18,2512.199951
259,1988-01-19,2488.199951
260,1988-01-20,2484.300049
261,1988-01-21,2412.300049
262,1988-01-22,2422.399902
263,1988-01-25,2407.300049
264,1988-01-26,2426.100098
265,1988-01-27,2412.600098
266,1988-01-28,2412.699951
267,1988-01-29,2409.699951
268,1988-02-01,2358.300049
269,1988-02-02,2298.500000
270,1988-02-03,2354.500000
271,1988-02-04,2295.300049
272,1988-02-05,2292.600098
273,1988-02-08,2223.600098
274,1988-02-09,2223.000000
275,1988-02-10,2233.500000
276,1988-02-11,2256.500000
277,1988-02-12,2287.199951
278,1988-02-15,2301.800049
279,1988-02-16,2328.000000
280,1988-02-22,2347.199951
281,1988-02-23,2329.399902
282,1988-02-24,2336.000000
283,1988-02-25,2355.899902
284,1988-02-26,2383.899902
285,1988-02-29,2418.100098
286,1988-03-01,2454.699951
287,1988-03-02,2462.100098
288,1988-03-03,2468.500000
289,1988-03-04,2472.399902
290,1988-03-07,2470.399902
291,1988-03-08,2493.300049
292,1988-03-09,2551.800049
293,1988-03-10,2591.300049
294,1988-03-11,2595.500000
295,1988-03-14,2584.699951
296,1988-03-15,2578.899902
297,1988-03-16,2555.000000
298,1988-03-17,2581.300049
299,1988-03-18,2607.600098
300,1988-03-21,2602.800049
301,1988-03-22,2594.800049
302,1988-03-23,2561.899902
303,1988-03-24,2546.399902
304,1988-03-25,2501.399902
305,1988-03-28,2466.800049
306,1988-03-29,2521.600098
307,1988-03-30,2528.899902
308,1988-03-31,2544.000000
309,1988-04-06,2556.600098
310,1988-04-07,2623.100098
311,1988-04-08,2619.899902
312,1988-04-11,2651.000000
313,1988-04-12,2635.899902
314,1988-04-13,2671.199951
315,1988-04-14,2684.100098
316,1988-04-15,2599.000000
317,1988-04-18,2552.000000
318,1988-04-19,2593.899902
319,1988-04-20,2578.399902
320,1988-04-21,2552.699951
321,1988-04-22,2591.399902
322,1988-04-25,2623.800049
323,1988-04-26,2586.000000
324,1988-04-27,2592.000000
325,1988-04-28,2588.100098
326,1988-04-29,2602.899902
327,1988-05-02,2589.899902
328,1988-05-03,2602.600098
329,1988-05-04,2641.100098
330,1988-05-05,2577.899902
331,1988-05-06,2571.699951
332,1988-05-09,2584.000000
333,1988-05-10,2563.000000
334,1988-05-11,2534.399902
335,1988-05-12,2508.899902
336,1988-05-13,2532.600098
337,1988-05-16,2538.000000
338,1988-05-17,2533.600098
339,1988-05-18,2533.300049
340,1988-05-19,2506.800049
341,1988-05-20,2491.199951
342,1988-05-23,2490.199951
343,1988-05-24,2516.199951
344,1988-05-25,2528.000000
345,1988-05-26,2520.500000
346,1988-05-27,2513.699951
347,1988-05-30,2488.899902
348,1988-05-31,2496.699951
349,1988-06-01,2516.199951
350,1988-06-02,2546.800049
351,1988-06-03,2568.300049
352,1988-06-06,2590.399902
353,1988-06-07,2587.000000
354,1988-06-08,2609.000000
355,1988-06-09,2640.800049
356,1988-06-10,2647.399902
357,1988-06-14,2672.699951
358,1988-06-15,2699.600098
359,1988-06-16,2693.500000
360,1988-06-17,2718.000000
361,1988-06-20,2719.000000
362,1988-06-21,2683.600098
363,1988-06-22,2703.699951
364,1988-06-23,2712.199951
365,1988-06-24,2707.600098
366,1988-06-27,2689.699951
367,1988-06-28,2661.500000
368,1988-06-29,2648.199951
369,1988-06-30,2671.500000
370,1988-07-01,2684.600098
371,1988-07-04,2687.600098
372,1988-07-05,2681.899902
373,1988-07-06,2737.500000
374,1988-07-07,2759.600098
375,1988-07-08,2752.899902
376,1988-07-11,2759.600098
377,1988-07-12,2772.500000
378,1988-07-13,2744.899902
379,1988-07-14,2753.000000
380,1988-07-15,2740.699951
381,1988-07-18,2711.399902
382,1988-07-19,2677.800049
383,1988-07-20,2697.500000
384,1988-07-21,2687.399902
385,1988-07-22,2661.800049
386,1988-07-25,2647.399902
387,1988-07-26,2655.600098
388,1988-07-27,2665.199951
389,1988-07-28,2663.500000
390,1988-07-29,2678.899902
391,1988-08-01,2703.399902
392,1988-08-02,2701.100098
